region	chr	midPos	Nsites_fst	fst	BLOCKstart	BLOCKend	Numer	Denom	Nsites_Dstat	Dstat	gene.density	gene.count	recombination.rate	tP.lec	Nsites_lec	Tajima.lec	pi.lec	tP.pine	Nsites_pine	Tajima.pine	pi.pine	avg.dxy	Nsites_dxy
"(683527,685432)(12651326,12699367)(12650000,12700000)"	3	12675000	1907	0.940296	12650000	12700000	0.016975	0.031217	1841	0.543774226	1	1	0.02	5.514643	4322	-1.735213	0.001275947	16.62157	6248	0.060953	0.002660302	0.872816029	33
"(1136969,1139699)(12900805,12947023)(12900000,12950000)"	2	12925000	2732	0.930234	12900000	12950000	0.073561	0.082303	2784	0.89378273	0.88114	6	3.59	3.266818	7358	-2.581933	0.000443982	4.892932	10035	-2.42109	0.000487587	0.93862143	16
"(802362,806442)(13700061,13749970)(13700000,13750000)"	4	13725000	4082	0.899153	13700000	13750000	0.2368	0.25425	3957	0.931366765	0.82008	1	0.83	15.41946	9642	-1.115693	0.001599197	10.415021	9336	-1.310444	0.001115576	0.759614282	70
"(133222,135896)(1050985,1078264)(1050000,1100000)"	4	1075000	2676	0.889973	1050000	1100000	0.277848	0.277848	2747	1	0.4429	2	7.53	5.45746	5103	-1.509284	0.001069461	6.931967	7878	-1.710465	0.000879915	0.850753131	16
"(750536,753001)(16453010,16499530)(16450000,16500000)"	3	16475000	2467	0.88532	16450000	16500000	0.063429	0.129551	2596	0.48960641	0.8022	7	1.08	3.695854	7527	-2.311598	0.000491013	4.786735	6871	-2.096223	0.000696658	0.846995647	16
"(30176,42157)(200658,249997)(200000,250000)"	2	225000	11983	0.879679	200000	250000	-0.042837	0.376673	12281	-0.113724636	0.5599	2	6.63	8.756953	19840	-2.653471	0.000441379	8.220552	20008	-2.560113	0.000410863	0.812900341	46
"(334138,337354)(2800096,2849959)(2800000,2850000)"	7	2825000	3218	0.870543	2800000	2850000	-0.346827	2.750864	3457	-0.126079297	0.3084	4	6.98	8.623582	6968	-1.89612	0.001237598	9.177883	9210	-1.431208	0.000996513	0.745089085	28
"(869508,871627)(17301215,17349878)(17300000,17350000)"	7	17325000	2121	0.870382	17300000	17350000	-0.18423	3.749659	3275	-0.049132468	1	3	5.25	5.264487	4710	-1.167045	0.001117725	6.553652	7414	-1.979323	0.000883956	0.723453993	27
"(1232019,1236791)(14350478,14395128)(14350000,14400000)"	1	14375000	4774	0.869923	14350000	14400000	0.158768	0.200403	4859	0.792243629	NA	NA	4.78	5.297123	10666	-2.411849	0.000496636	21.967182	10303	-1.195632	0.002132115	0.701421064	69
"(1230136,1232018)(14300568,14349881)(14300000,14350000)"	1	14325000	1884	0.868395	14300000	14350000	0.139753	0.202905	1833	0.68876075	0.65638	5	4.78	2.584098	5461	-2.28136	0.000473191	5.902763	6556	-1.909722	0.00090036	0.632830767	60
"(792143,794060)(17100100,17149999)(17100000,17150000)"	3	17125000	1919	0.866651	17100000	17150000	0.702287	0.726532	2145	0.966629137	NA	NA	1.74	10.337597	8499	-1.792766	0.001216331	12.426839	5283	0.010322	0.002352231	0.7283212	38
"(1084104,1085577)(16900227,16949477)(16900000,16950000)"	5	16925000	1475	0.866097	16900000	16950000	-0.010166	0.051621	1501	-0.196935356	0.6353	4	2.22	3.352425	4495	-1.741044	0.000745812	4.792481	5753	-1.926211	0.00083304	0.780226568	10
"(1009944,1014393)(15800235,15849999)(15800000,15850000)"	4	15825000	4451	0.864354	15800000	15850000	0.029877	0.031943	4515	0.935322293	0.887	9	4.35	5.214963	9695	-2.28301	0.000537902	7.248085	12912	-2.087737	0.000561345	0.75891106	22
"(2321153,2323961)(33100085,33149670)(33100000,33150000)"	3	33125000	2810	0.864031	33100000	33150000	0.797933	1.001011	2902	0.797127104	0.69808	8	3.56	5.574109	7253	-1.925706	0.000768525	7.504584	10556	-1.78539	0.000710931	0.723740158	13
"(1086626,1089061)(12250558,12299998)(12250000,12300000)"	2	12275000	2437	0.859847	12250000	12300000	0.008226	0.067967	2515	0.121029323	0.9923	4	4.32	4.253669	7667	-2.051345	0.000554802	4.579003	8545	-1.81996	0.000535869	0.739415424	14
"(3115554,3118985)(38550974,38599083)(38550000,38600000)"	1	38575000	3433	0.858635	38550000	38600000	-0.17078	0.282139	3427	-0.605304478	0.80542	7	7.67	12.457354	10480	-1.506185	0.001188679	10.449524	8829	-1.591378	0.001183546	0.758120719	26
"(2747526,2752006)(36450000,36492932)(36450000,36500000)"	2	36475000	4482	0.858259	36450000	36500000	-0.055203	0.521066	4559	-0.105942433	0.86144	6	4.81	10.17749	9896	-1.679544	0.001028445	7.315266	12668	-2.29746	0.00057746	0.737603283	31
"(313777,321485)(2800071,2849612)(2800000,2850000)"	5	2825000	7710	0.858072	2800000	2850000	0.100955	0.206875	7860	0.488	0.96206	11	5.63	9.248252	13026	-2.154667	0.000709984	12.131147	18312	-2.152697	0.00066247	0.7835775	43
"(1038185,1041770)(16150371,16199451)(16150000,16200000)"	5	16175000	3587	0.857167	16150000	16200000	0.357434	0.448712	3756	0.79657776	NA	NA	2.01	4.734269	6556	-2.021536	0.000722128	17.524944	10256	-0.97171	0.00170875	0.711170208	47
"(669422,671099)(12307681,12346879)(12300000,12350000)"	3	12325000	1679	0.856883	12300000	12350000	0.119701	0.122937	1610	0.973677575	0.48408	5	0.03	1.247453	3598	-2.307685	0.000346707	16.619254	6936	-0.532298	0.002396086	0.654103422	18
"(1264833,1267198)(14900438,14949953)(14900000,14950000)"	1	14925000	2367	0.856757	14900000	14950000	-0.098761	0.254575	2428	-0.387944614	1	1	3.47	3.903105	6641	-2.343127	0.000587729	17.618132	9204	-1.08778	0.001914182	0.838725362	27
"(789250,792142)(17050000,17099892)(17050000,17100000)"	3	17075000	2894	0.856489	17050000	17100000	0.131938	0.207958	2981	0.634445417	NA	NA	1.74	3.768348	7691	-2.079278	0.000489969	13.588681	7679	-1.57743	0.00176959	0.844073629	25
"(736273,739278)(16250567,16299014)(16250000,16300000)"	3	16275000	3007	0.854949	16250000	16300000	-0.051195	0.097212	3049	-0.526632515	0.01736	1	0.82	2.080555	6151	-2.560525	0.000338247	16.664998	9788	-0.974389	0.001702595	0.836626542	11
"(2280345,2284659)(31152169,31199999)(31150000,31200000)"	5	31175000	4316	0.853963	31150000	31200000	1.225759	1.293489	4385	0.947637746	0.66914	5	4.9	8.339907	8872	-2.00443	0.000940026	3.988705	10888	-2.570263	0.00036634	0.716020705	21
"(1841258,1843990)(27303215,27346723)(27300000,27350000)"	4	27325000	2734	0.853376	27300000	27350000	0.082321	0.087874	2764	0.936807247	0.93712	6	3.1	3.231649	6698	-2.476417	0.00048248	6.46465	10592	-2.14926	0.000610333	0.724705262	11
"(225990,235317)(1250000,1299955)(1250000,1300000)"	7	1275000	9329	0.850547	1250000	1300000	-0.157976	0.521745	9445	-0.302783927	0.929	11	7.28	10.08051	15253	-2.453425	0.000660887	8.635975	18658	-2.422012	0.000462856	0.782181336	40
"(3119097,3123649)(39950000,39998914)(39950000,40000000)"	2	39975000	4554	0.850161	39950000	40000000	-2.280398	4.306331	4585	-0.529545453	1	9	6.5	12.644915	8422	-1.45675	0.001501415	8.125546	11268	-1.819952	0.000721117	0.720230126	47
"(874723,877144)(9158701,9199986)(9150000,9200000)"	1	9175000	2423	0.849183	9150000	9200000	0.809185	1.115145	2483	0.725632093	0.99026	8	5.97	10.375193	5553	-0.842756	0.001868394	5.02067	8795	-2.154475	0.000570855	0.729344471	28
"(1099511,1101952)(17251177,17299551)(17250000,17300000)"	5	17275000	2443	0.848729	17250000	17300000	2.641646	4.4791	2526	0.589771606	0.79082	1	3.17	5.520113	6122	-1.794601	0.000901685	6.329175	8030	-1.961596	0.000788191	0.659604736	22
"(1267199,1269816)(14950125,14999995)(14950000,15000000)"	1	14975000	2619	0.847355	14950000	15000000	0.390685	0.390685	2731	1	NA	NA	3.25	3.988138	6202	-2.147394	0.000643041	20.787005	7520	-0.512902	0.002764229	0.735084142	32
"(357594,362129)(3214000,3249852)(3200000,3250000)"	5	3225000	4537	0.847285	3200000	3250000	0.041461	0.167729	4592	0.247190408	0.69224	9	5.94	6.856175	9207	-2.369858	0.00074467	6.553752	11600	-2.292951	0.000564979	0.85893973	20
"(2613272,2616672)(33902317,33943485)(33900000,33950000)"	4	33925000	3402	0.847173	33900000	33950000	0.201288	1.500879	3389	0.13411341	0.80674	7	5.11	5.358917	8160	-1.864486	0.00065673	10.048474	10226	-1.249919	0.00098264	0.721479598	22
"(1301462,1303289)(19050893,19096834)(19050000,19100000)"	1	19075000	1829	0.846386	19050000	19100000	0.018845	0.08871	1859	0.212433773	NA	NA	1.06	3.131947	4599	-2.070117	0.000681006	10.799365	7030	-0.011482	0.001536183	0.727737025	19
"(284634,287938)(2150846,2198892)(2150000,2200000)"	2	2175000	3306	0.845057	2150000	2200000	-0.006648	0.063024	3445	-0.105483625	0.91732	2	7.61	9.573943	8283	-1.780194	0.001155855	7.101362	10733	-2.247445	0.000661638	0.746813733	30
"(768701,773319)(7850118,7898447)(7850000,7900000)"	1	7875000	4620	0.844632	7850000	7900000	0.181788	0.304487	4764	0.597030415	0.98982	5	5.57	10.140047	11360	-1.866822	0.00089261	10.906729	11376	-1.816417	0.000958749	0.848727402	28
"(2476690,2482038)(33950000,33999940)(33950000,34000000)"	2	33975000	5350	0.843925	33950000	34000000	0.040742	0.071513	5455	0.569714597	0.9012	10	4.31	5.934847	9879	-2.251485	0.000600754	6.625144	15091	-2.558856	0.000439013	0.721881723	22
"(291277,292740)(3650218,3694155)(3650000,3700000)"	3	3675000	1465	0.84348	3650000	3700000	1.218887	1.41386	1538	0.862098793	1	1	7.57	9.248549	4573	-0.970332	0.002022425	6.343528	5328	-1.760494	0.001190602	0.738792674	11
"(362130,368736)(3250104,3299938)(3250000,3300000)"	5	3275000	6608	0.842856	3250000	3300000	0.080808	0.084371	6716	0.95776985	0.92566	12	5.94	7.421632	13639	-2.35573	0.000544148	6.744417	16392	-2.616357	0.000411446	0.741726311	26
"(1147226,1150912)(13050452,13099700)(13050000,13100000)"	2	13075000	3688	0.842715	13050000	13100000	0.039056	0.083031	3770	0.470378533	0.95054	7	3.6	4.182037	8078	-2.318111	0.000517707	7.022166	10682	-2.263631	0.000657383	0.682565804	20
"(2147232,2152315)(25600000,25649408)(25600000,25650000)"	6	25625000	5085	0.842182	25600000	25650000	0.376199	0.607423	5172	0.619336113	0.98664	7	5.54	5.880291	11063	-2.613528	0.000531528	7.165403	13611	-2.270857	0.000526442	0.756142488	20
"(1734239,1737622)(28352111,28393408)(28350000,28400000)"	3	28375000	3385	0.841649	28350000	28400000	-0.845991	0.857344	3658	-0.986757941	0.95002	7	4.36	4.715854	9921	-2.604436	0.000475341	5.655596	10031	-2.475403	0.000563812	0.674390923	16
"(2233421,2238969)(30600920,30649999)(30600000,30650000)"	5	30625000	5550	0.840632	30600000	30650000	-0.981789	1.095776	5607	-0.895976002	0.87622	7	5.19	7.049973	11128	-2.108684	0.000633535	7.428937	13919	-2.044445	0.000533726	0.732828231	25
"(2488760,2492712)(34050471,34099226)(34050000,34100000)"	2	34075000	3954	0.840419	34050000	34100000	-0.018229	0.082785	4027	-0.220196896	0.90088	8	4.31	5.930937	10172	-2.300548	0.000583065	4.800837	12242	-2.570342	0.000392161	0.779080608	16
"(2218918,2225544)(30450000,30498137)(30450000,30500000)"	5	30475000	6628	0.839512	30450000	30500000	0.098946	0.123655	6715	0.800177914	0.91562	13	5.19	11.638419	12330	-2.007953	0.000943911	6.714971	17642	-2.593376	0.000380624	0.789979929	34
