#OG_name	nb_species	nb_reduced_prot	nb_all_prot	clustering_coefficient
OG_1	5	5	19	1.0
OG_2	5	5	19	1.0
OG_3	5	5	40	1.0
OG_4	5	5	21	1.0
OG_5	5	5	21	1.0
OG_6	5	5	16	1.0
OG_7	5	5	10	1.0
OG_8	5	5	8	1.0
OG_9	5	5	6	1.0
OG_10	5	5	18	1.0
OG_11	5	5	13	1.0
OG_12	5	5	20	1.0
OG_13	5	5	19	1.0
OG_14	5	5	9	1.0
OG_15	5	5	72	1.0
OG_16	5	5	14	1.0
OG_17	5	5	12	1.0
OG_18	5	5	14	1.0
OG_19	5	5	17	1.0
OG_20	5	5	38	1.0
OG_21	5	5	26	1.0
OG_22	5	5	15	1.0
OG_23	5	5	15	1.0
OG_24	5	5	10	1.0
OG_25	5	5	10	1.0
OG_26	5	5	11	1.0
OG_27	5	5	13	1.0
OG_28	5	5	24	1.0
OG_29	5	5	49	1.0
OG_30	5	5	31	1.0
OG_31	5	5	14	1.0
OG_32	5	5	14	1.0
OG_33	5	5	20	1.0
OG_34	5	5	13	1.0
OG_35	5	5	18	1.0
OG_36	5	5	20	1.0
OG_37	5	5	29	1.0
OG_38	5	5	12	1.0
OG_39	5	5	29	1.0
OG_40	5	5	25	1.0
OG_41	5	5	15	1.0
OG_42	5	5	10	1.0
OG_43	5	5	9	1.0
OG_44	5	5	49	1.0
OG_45	5	5	14	1.0
OG_46	5	5	9	1.0
OG_47	5	5	10	1.0
OG_48	5	5	26	1.0
OG_49	5	5	10	1.0
OG_50	5	5	9	1.0
OG_51	4	4	7	1.0
OG_52	5	5	6	1.0
OG_53	5	5	14	1.0
OG_54	4	4	23	1.0
OG_55	4	4	8	1.0
OG_56	5	5	13	1.0
OG_57	5	5	10	1.0
OG_58	5	5	40	1.0
OG_59	5	5	9	1.0
OG_60	5	5	10	1.0
OG_61	5	5	47	1.0
OG_62	5	5	10	1.0
OG_63	5	5	11	1.0
OG_64	5	5	9	1.0
OG_65	5	5	10	1.0
OG_66	5	5	29	1.0
OG_67	5	5	21	1.0
OG_68	5	5	13	1.0
OG_69	5	5	40	1.0
OG_70	5	5	14	1.0
OG_71	5	5	9	1.0
OG_72	5	5	13	1.0
OG_73	5	5	12	1.0
OG_74	5	5	15	1.0
OG_75	5	5	20	1.0
OG_76	5	5	9	1.0
OG_77	5	5	41	1.0
OG_78	5	5	17	1.0
OG_79	5	5	11	1.0
OG_80	4	4	8	1.0
OG_81	4	4	14	1.0
OG_82	4	4	5	1.0
OG_83	5	5	27	1.0
OG_84	5	5	36	1.0
OG_85	5	5	9	1.0
OG_86	5	5	10	1.0
OG_87	5	5	14	1.0
OG_88	5	5	13	1.0
OG_89	5	5	10	1.0
OG_90	5	5	11	1.0
OG_91	5	5	12	1.0
OG_92	5	5	15	1.0
OG_93	5	5	28	1.0
OG_94	5	5	9	1.0
OG_95	5	5	11	1.0
OG_96	5	5	15	1.0
OG_97	5	5	14	1.0
OG_98	5	5	17	1.0
OG_99	5	5	5	1.0
OG_100	5	5	15	1.0
OG_101	5	5	29	1.0
OG_102	5	5	33	1.0
OG_103	5	5	10	1.0
OG_104	5	5	13	1.0
OG_105	5	5	8	1.0
OG_106	5	5	24	1.0
OG_107	4	4	26	1.0
OG_108	5	5	9	1.0
OG_109	4	4	8	1.0
OG_110	4	4	8	1.0
OG_111	5	5	20	1.0
OG_112	4	4	24	1.0
OG_113	5	5	15	1.0
OG_114	5	5	29	1.0
OG_115	5	5	10	1.0
OG_116	4	4	8	1.0
OG_117	5	5	11	1.0
OG_118	5	5	7	1.0
OG_119	5	5	13	1.0
OG_120	4	4	28	1.0
OG_121	4	4	11	1.0
OG_122	4	4	15	1.0
OG_123	4	4	12	1.0
OG_124	4	4	8	1.0
OG_125	5	5	22	1.0
OG_126	5	5	23	1.0
OG_127	5	5	10	1.0
OG_128	5	5	47	1.0
OG_129	5	5	10	1.0
OG_130	5	5	46	1.0
OG_131	5	5	23	1.0
OG_132	5	5	9	1.0
OG_133	5	5	10	1.0
OG_134	5	5	9	1.0
OG_135	5	5	21	1.0
OG_136	5	5	19	1.0
OG_137	5	5	10	1.0
OG_138	5	5	9	1.0
OG_139	5	5	9	1.0
OG_140	5	5	10	1.0
OG_141	5	5	10	1.0
OG_142	5	5	22	1.0
OG_143	5	5	10	1.0
OG_144	5	5	8	1.0
OG_145	5	5	9	1.0
OG_146	5	5	10	1.0
OG_147	5	5	10	1.0
OG_148	5	5	8	1.0
OG_149	5	5	10	1.0
OG_150	5	5	10	1.0
OG_151	5	5	13	1.0
OG_152	5	5	9	1.0
OG_153	5	5	11	1.0
OG_154	5	5	10	1.0
OG_155	5	5	9	1.0
OG_156	5	5	9	1.0
OG_157	5	5	14	1.0
OG_158	5	5	19	1.0
OG_159	5	5	14	1.0
OG_160	5	5	108	1.0
OG_161	5	5	15	1.0
OG_162	5	5	13	1.0
OG_163	5	5	14	1.0
OG_164	5	5	19	1.0
OG_165	5	5	9	1.0
OG_166	5	5	11	1.0
OG_167	5	5	9	1.0
OG_168	5	5	10	1.0
OG_169	5	5	9	1.0
OG_170	5	5	10	1.0
OG_171	5	5	18	1.0
OG_172	5	5	10	1.0
OG_173	5	5	10	1.0
OG_174	5	5	15	1.0
OG_175	5	5	17	1.0
OG_176	5	5	21	1.0
OG_177	5	5	24	1.0
OG_178	5	5	10	1.0
OG_179	5	5	10	1.0
OG_180	5	5	10	1.0
OG_181	5	5	9	1.0
OG_182	5	5	6	1.0
OG_183	5	5	9	1.0
OG_184	5	5	11	1.0
OG_185	5	5	12	1.0
OG_186	5	5	24	1.0
OG_187	5	5	17	1.0
OG_188	5	5	15	1.0
OG_189	5	5	18	1.0
OG_190	5	5	14	1.0
OG_191	5	5	13	1.0
OG_192	5	5	32	1.0
OG_193	5	5	14	1.0
OG_194	5	5	24	1.0
OG_195	5	5	9	1.0
OG_196	5	5	18	1.0
OG_197	5	5	9	1.0
OG_198	5	5	9	1.0
OG_199	5	5	10	1.0
OG_200	5	5	10	1.0
OG_201	5	5	9	1.0
OG_202	5	5	62	1.0
OG_203	5	5	20	1.0
OG_204	5	5	26	1.0
OG_205	5	5	10	1.0
OG_206	5	5	14	1.0
OG_207	5	5	14	1.0
OG_208	5	5	8	1.0
OG_209	5	5	34	1.0
OG_210	5	5	10	1.0
OG_211	5	5	15	1.0
OG_212	5	5	10	1.0
OG_213	5	5	20	1.0
OG_214	5	5	14	1.0
OG_215	5	5	10	1.0
OG_216	5	5	13	1.0
OG_217	5	5	10	1.0
OG_218	5	5	10	1.0
OG_219	5	5	11	1.0
OG_220	5	5	36	1.0
OG_221	5	5	25	1.0
OG_222	5	5	29	1.0
OG_223	5	5	10	1.0
OG_224	5	5	41	1.0
OG_225	5	5	14	1.0
OG_226	5	5	15	1.0
OG_227	5	5	7	1.0
OG_228	5	5	16	1.0
OG_229	5	5	8	1.0
OG_230	5	5	10	1.0
OG_231	5	5	13	1.0
OG_232	5	5	9	1.0
OG_233	5	5	11	1.0
OG_234	5	5	15	1.0
OG_235	5	5	16	1.0
OG_236	5	5	20	1.0
OG_237	5	5	10	1.0
OG_238	5	5	7	1.0
OG_239	5	5	12	1.0
OG_240	4	4	12	1.0
OG_241	5	5	28	1.0
OG_242	5	5	10	1.0
OG_243	5	5	11	1.0
OG_244	5	5	12	1.0
OG_245	5	5	11	1.0
OG_246	5	5	14	1.0
OG_247	5	5	9	1.0
OG_248	5	5	16	1.0
OG_249	5	5	14	1.0
OG_250	5	5	25	1.0
OG_251	3	3	5	1.0
OG_252	5	5	10	1.0
OG_253	5	5	17	1.0
OG_254	5	5	9	1.0
OG_255	5	5	9	1.0
OG_256	5	5	54	1.0
OG_257	5	5	10	1.0
OG_258	5	5	14	1.0
OG_259	5	5	7	1.0
OG_260	5	5	10	1.0
OG_261	5	5	15	1.0
OG_262	5	5	14	1.0
OG_263	5	5	14	1.0
OG_264	5	5	20	1.0
OG_265	5	5	86	1.0
OG_266	5	5	89	1.0
OG_267	4	4	20	1.0
OG_268	5	5	10	1.0
OG_269	5	5	12	1.0
OG_270	5	5	15	1.0
OG_271	5	5	25	1.0
OG_272	5	5	10	1.0
OG_273	5	5	15	1.0
OG_274	5	5	12	1.0
OG_275	5	5	20	1.0
OG_276	5	5	11	1.0
OG_277	5	5	11	1.0
OG_278	5	9	10	0.5556
OG_279	5	5	8	1.0
OG_280	5	5	31	1.0
OG_281	5	5	11	1.0
OG_282	5	5	15	1.0
OG_283	5	5	17	1.0
OG_284	5	5	8	1.0
OG_285	5	5	7	1.0
OG_286	5	5	6	1.0
OG_287	5	5	8	1.0
OG_288	5	5	6	1.0
OG_289	5	5	11	1.0
OG_290	5	5	9	1.0
OG_291	5	5	9	1.0
OG_292	5	5	13	1.0
OG_293	5	5	13	1.0
OG_294	5	5	11	1.0
OG_295	5	5	11	1.0
OG_296	5	5	19	1.0
OG_297	5	5	11	1.0
OG_298	5	5	11	1.0
OG_299	5	5	9	1.0
OG_300	5	5	10	1.0
OG_301	5	5	14	1.0
OG_302	5	5	22	1.0
OG_303	5	5	16	1.0
OG_304	5	5	26	1.0
OG_305	5	5	8	1.0
OG_306	5	5	9	1.0
OG_307	5	5	13	1.0
OG_308	5	5	16	1.0
OG_309	5	5	33	1.0
OG_310	5	5	15	1.0
OG_311	5	5	40	1.0
OG_312	5	5	53	1.0
OG_313	5	5	15	1.0
OG_314	5	5	17	1.0
OG_315	5	5	9	1.0
OG_316	5	5	15	1.0
OG_317	5	5	23	1.0
OG_318	5	5	32	1.0
OG_319	5	5	15	1.0
OG_320	5	5	19	1.0
OG_321	5	5	9	1.0
OG_322	5	5	14	1.0
OG_323	5	5	9	1.0
OG_324	5	5	9	1.0
OG_325	5	5	9	1.0
OG_326	5	5	23	1.0
OG_327	5	5	9	1.0
OG_328	5	5	10	1.0
OG_329	5	5	22	1.0
OG_330	5	5	39	1.0
OG_331	5	5	9	1.0
OG_332	5	5	19	1.0
OG_333	5	5	20	1.0
OG_334	4	4	68	1.0
OG_335	5	5	14	1.0
OG_336	5	5	9	1.0
OG_337	5	5	10	1.0
OG_338	5	5	8	1.0
OG_339	5	5	18	1.0
OG_340	5	5	14	1.0
OG_341	3	3	12	1.0
OG_342	5	5	14	1.0
OG_343	5	5	14	1.0
OG_344	5	5	9	1.0
OG_345	5	5	39	1.0
OG_346	5	5	13	1.0
OG_347	5	5	15	1.0
OG_348	5	5	9	1.0
OG_349	5	5	18	1.0
OG_350	5	5	13	1.0
OG_351	5	5	10	1.0
OG_352	5	5	22	1.0
OG_353	5	5	15	1.0
OG_354	5	5	17	1.0
OG_355	5	5	10	1.0
OG_356	5	5	9	1.0
OG_357	5	5	9	1.0
OG_358	5	5	9	1.0
OG_359	5	5	10	1.0
OG_360	5	5	20	1.0
OG_361	5	5	29	1.0
OG_362	5	5	9	1.0
OG_363	5	5	10	1.0
OG_364	5	5	8	1.0
OG_365	5	5	25	1.0
OG_366	5	5	38	1.0
OG_367	5	5	15	1.0
OG_368	5	5	9	1.0
OG_369	5	5	20	1.0
OG_370	5	5	8	1.0
OG_371	5	5	14	1.0
OG_372	5	5	13	1.0
OG_373	5	5	10	1.0
OG_374	5	5	9	1.0
OG_375	5	5	10	1.0
OG_376	5	5	29	1.0
OG_377	5	5	84	1.0
OG_378	5	5	7	1.0
OG_379	5	5	8	1.0
OG_380	5	5	9	1.0
OG_381	5	5	11	1.0
OG_382	5	5	12	1.0
OG_383	5	5	45	1.0
OG_384	5	5	14	1.0
OG_385	5	5	17	1.0
OG_386	5	5	7	1.0
OG_387	5	5	9	1.0
OG_388	5	5	11	1.0
OG_389	5	5	10	1.0
OG_390	5	5	16	1.0
OG_391	5	5	17	1.0
OG_392	5	5	10	1.0
OG_393	5	5	22	1.0
OG_394	5	5	13	1.0
