#OG_name	GCF_021155775.1_iyNeoPine1.1_protein.faa	GCF_021901455.1_iyNeoLeco1.1_protein.faa	GCF_021901495.1_iyNeoVirg1.1_protein.faa	GCF_021155785.1_iyNeoFabr1.1_protein.faa	GCF_021155765.1_iyDipSimi1.1_protein.faa
OG_1	XP_046493342.1 XP_046493344.1 XP_046493345.1 XP_046493346.1	XP_015522923.1 XP_046600000.1 XP_015522922.1 XP_046600053.1	XP_046611078.1 XP_046611087.1 XP_046611070.1 XP_046611064.1	XP_046422275.1 XP_046422268.1 XP_046422283.1 XP_046422292.1	XP_046739927.1 XP_046739907.1 XP_046739917.1
OG_2	XP_046473405.1 XP_046473406.1 XP_046473407.1 XP_046473408.1 XP_046473409.1	XP_015516963.1 XP_046590657.1 XP_046590658.1 XP_046590659.1	XP_046611079.1 XP_046611080.1 XP_046611081.1 XP_046611077.1	XP_046417633.1 XP_046417629.1 XP_046417630.1 XP_046417631.1 XP_046417632.1	XP_046737690.1
OG_3	XP_046473414.1 XP_046473415.1 XP_046473416.1 XP_046473417.1 XP_046473418.1 XP_046473419.1 XP_046473420.1 XP_046473421.1 XP_046473422.1	XP_046590662.1 XP_015516953.1 XP_015516956.1 XP_015516957.1 XP_015516958.1 XP_015516959.1 XP_015516960.1 XP_046590660.1 XP_046590661.1	XP_046611086.1 XP_046611088.1 XP_046611089.1 XP_046611090.1 XP_046611091.1 XP_046611092.1 XP_046611093.1 XP_046611094.1 XP_046611095.1	XP_046417639.1 XP_046417640.1 XP_046417641.1 XP_046417642.1 XP_046417643.1 XP_046417644.1 XP_046417645.1 XP_046417646.1 XP_046417647.1	XP_046737711.1 XP_046737707.1 XP_046737708.1 XP_046737709.1
OG_4	XP_046471422.1 XP_046471418.1 XP_046471419.1 XP_046471421.1	XP_015524038.1 XP_015524040.1 XP_046589507.1 XP_046589508.1	XP_046611096.1 XP_046611097.1 XP_046611098.1 XP_046611099.1	XP_046415634.1 XP_046415635.1 XP_046415636.1 XP_046415638.1	XP_046738112.1 XP_046738113.1 XP_046738114.1 XP_046738115.1 XP_046738117.1
OG_5	XP_046473467.1 XP_046473468.1 XP_046473469.1 XP_046473470.1 XP_046473472.1	XP_046590766.1 XP_015524046.2 XP_046590767.1	XP_046611131.1 XP_046611132.1 XP_046611133.1 XP_046611134.1 XP_046611135.1	XP_046417745.1 XP_046417746.1 XP_046417747.1 XP_046417748.1 XP_046417750.1	XP_046738143.1 XP_046738144.1 XP_046738141.1
OG_6	XP_046472238.1 XP_046472235.1 XP_046472236.1 XP_046472237.1	XP_046589804.1 XP_046589805.1	XP_046612295.1 XP_046611144.1 XP_046611145.1 XP_046611146.1 XP_046612296.1 XP_046612297.1 XP_046610609.1 XP_046610621.1	XP_046417699.1	XP_046739638.1
OG_7	XP_046472244.1 XP_046472245.1	XP_015517890.1 XP_015517893.1	XP_046611148.1 XP_046611149.1	XP_046417706.1 XP_046417704.1	XP_046739643.1 XP_046739644.1
OG_8	XP_046475137.1	XP_046590651.1 XP_015519364.1	XP_046611160.1 XP_046611161.1	XP_046416982.1 XP_046416984.1	XP_046739506.1
OG_9	XP_046473449.1	XP_046590493.1	XP_046611187.1 XP_046611188.1	XP_046417233.1	XP_046737957.1
OG_10	XP_046474638.1 XP_046474639.1 XP_046474636.1 XP_046474637.1	XP_015518779.1 XP_015518780.1 XP_015518781.1 XP_015518778.1	XP_046611206.1 XP_046611203.1 XP_046611204.1 XP_046611205.1	XP_046417969.1 XP_046417970.1 XP_046417971.1 XP_046417972.1	XP_046737499.1 XP_046737500.1
OG_11	XP_046473679.1 XP_046473680.1 XP_046473681.1	XP_046589327.1 XP_046589328.1 XP_015518782.2	XP_046611218.1 XP_046611219.1 XP_046611220.1	XP_046417982.1 XP_046417983.1 XP_046417984.1	XP_046737606.1
OG_12	XP_046474982.1 XP_046474978.1 XP_046474979.1 XP_046474980.1 XP_046474981.1	XP_015522917.2 XP_015522918.2 XP_046590911.1 XP_046590912.1 XP_046590913.1	XP_046611246.1 XP_046611247.1 XP_046611244.1 XP_046611245.1	XP_046416865.1 XP_046416866.1 XP_046416867.1 XP_046416868.1	XP_046738427.1 XP_046738428.1
OG_13	XP_046473622.1 XP_046473623.1 XP_046473625.1 XP_046473626.1	XP_015516943.1 XP_015516940.2 XP_015516941.1 XP_015516942.2	XP_046611256.1 XP_046611257.1 XP_046611258.1 XP_046611259.1	XP_046417961.1 XP_046417962.1 XP_046417963.1 XP_046417960.1	XP_046737680.1 XP_046737681.1 XP_046737682.1
OG_14	XP_046472012.1 XP_046472013.1	XP_046591702.1 XP_015524474.1	XP_046611268.1 XP_046611269.1	XP_046416165.1 XP_046416166.1	XP_046739938.1
OG_15	XP_046472014.1 XP_046472015.1 XP_046472016.1 XP_046472017.1 XP_046472018.1 XP_046472019.1 XP_046472020.1 XP_046472021.1 XP_046472023.1 XP_046472024.1 XP_046472025.1 XP_046472026.1 XP_046472027.1 XP_046472028.1	XP_015524478.1 XP_015524479.1 XP_015524480.1 XP_015524481.1 XP_015524482.1 XP_015524483.1 XP_046591703.1 XP_046591704.1 XP_046591706.1 XP_046591707.1 XP_046591708.1 XP_046591711.1 XP_046591709.1 XP_046591710.1	XP_046611270.1 XP_046611271.1 XP_046611272.1 XP_046611273.1 XP_046611274.1 XP_046611275.1 XP_046611276.1 XP_046611277.1 XP_046611278.1 XP_046611279.1 XP_046611281.1 XP_046611282.1 XP_046611283.1 XP_046611284.1	XP_046416167.1 XP_046416168.1 XP_046416170.1 XP_046416171.1 XP_046416172.1 XP_046416173.1 XP_046416174.1 XP_046416176.1 XP_046416177.1 XP_046416178.1 XP_046416179.1 XP_046416180.1 XP_046416181.1 XP_046416182.1 XP_046416183.1	XP_046739942.1 XP_046739943.1 XP_046739944.1 XP_046739945.1 XP_046739946.1 XP_046739947.1 XP_046739948.1 XP_046739949.1 XP_046739950.1 XP_046739951.1 XP_046739952.1 XP_046739953.1 XP_046739939.1 XP_046739940.1 XP_046739941.1
OG_16	XP_046474263.1 XP_046474264.1 XP_046474265.1	XP_046591718.1 XP_046591719.1 XP_015524495.2	XP_046611286.1 XP_046611287.1 XP_046611288.1	XP_046418554.1 XP_046418555.1 XP_046418556.1	XP_046739470.1 XP_046739471.1
OG_17	XP_046474270.1 XP_046474271.1 XP_046474269.1	XP_015524486.1 XP_046591724.1 XP_046591723.1	XP_046611294.1 XP_046611293.1	XP_046418561.1 XP_046418562.1 XP_046418563.1	XP_046739475.1
OG_18	XP_046473647.1 XP_046473648.1 XP_046473649.1	XP_046590974.1 XP_046590975.1 XP_046590973.1	XP_046611310.1 XP_046611311.1 XP_046611312.1	XP_046417305.1 XP_046417303.1 XP_046417304.1	XP_046738503.1 XP_046738504.1
OG_19	XP_046473650.1 XP_046473651.1 XP_046473652.1	XP_015511272.1 XP_046590976.1 XP_046590977.1 XP_046590978.1	XP_046611314.1 XP_046611315.1 XP_046611316.1 XP_046611317.1	XP_046417313.1 XP_046417309.1 XP_046417311.1 XP_046417312.1	XP_046739410.1 XP_046739411.1
OG_20	XP_046471270.1 XP_046471261.1 XP_046471262.1 XP_046471263.1 XP_046471264.1 XP_046471267.1 XP_046471268.1 XP_046471269.1	XP_046589420.1 XP_046589421.1 XP_046589422.1 XP_046589423.1 XP_046589424.1 XP_046589425.1 XP_046589426.1 XP_015510528.2	XP_046611334.1 XP_046611326.1 XP_046611327.1 XP_046611328.1 XP_046611329.1 XP_046611330.1 XP_046611332.1 XP_046611333.1	XP_046415297.1 XP_046415298.1 XP_046415299.1 XP_046415300.1 XP_046415301.1 XP_046415302.1 XP_046415296.1	XP_046740009.1 XP_046740010.1 XP_046740011.1 XP_046740012.1 XP_046740013.1 XP_046740015.1 XP_046740016.1
OG_21	XP_046474422.1 XP_046474424.1 XP_046474425.1 XP_046474426.1 XP_046474427.1	XP_046590675.1 XP_046590676.1 XP_046590677.1 XP_046590678.1 XP_046590679.1 XP_015513715.2	XP_046611369.1 XP_046611370.1 XP_046611371.1 XP_046611372.1 XP_046611373.1	XP_046418618.1 XP_046418619.1 XP_046418620.1 XP_046418621.1 XP_046418622.1	XP_046739058.1 XP_046739059.1 XP_046739060.1 XP_046739061.1 XP_046739062.1
OG_22	XP_046473774.1 XP_046473775.1 XP_046473776.1	XP_015520053.2 XP_015520054.2 XP_046591251.1	XP_046611387.1 XP_046611388.1 XP_046611389.1	XP_046418012.1 XP_046418013.1 XP_046418014.1	XP_046739342.1 XP_046739343.1 XP_046739341.1
OG_23	XP_046473782.1 XP_046473779.1 XP_046473780.1 XP_046473781.1	XP_046591254.1 XP_015520055.2 XP_046591252.1 XP_046591253.1	XP_046611391.1 XP_046611392.1 XP_046611393.1	XP_046418017.1 XP_046418018.1 XP_046418019.1	XP_046739345.1
OG_24	XP_046473790.1 XP_046473792.1	XP_015521922.1 XP_046592004.1	XP_046611398.1 XP_046611399.1	XP_046418027.1 XP_046418028.1	XP_046737910.1 XP_046737909.1
OG_25	XP_046475145.1 XP_046475146.1	XP_015518222.2 XP_015518223.2	XP_046611418.1 XP_046611419.1	XP_046419106.1 XP_046419107.1	XP_046738818.1 XP_046738819.1
OG_26	XP_046473871.1 XP_046473872.1	XP_015517795.1 XP_046591120.1	XP_046611423.1 XP_046611424.1 XP_046611426.1	XP_046418164.1 XP_046418165.1	XP_046740302.1 XP_046740303.1
OG_27	XP_046473873.1 XP_046473874.1 XP_046473875.1	XP_046591121.1 XP_046591122.1 XP_015517790.1	XP_046611430.1 XP_046611427.1 XP_046611428.1 XP_046611429.1	XP_046418166.1 XP_046418167.1	XP_046740304.1
OG_28	XP_046473877.1 XP_046473878.1 XP_046473879.1 XP_046473880.1 XP_046473881.1 XP_046473882.1	XP_015517792.1 XP_015517794.1 XP_046591126.1 XP_046591127.1 XP_046591125.1	XP_046611432.1 XP_046611433.1 XP_046611434.1 XP_046611435.1 XP_046611436.1 XP_046611437.1	XP_046418169.1 XP_046418170.1 XP_046418171.1 XP_046418172.1 XP_046418173.1	XP_046738722.1 XP_046738723.1
OG_29	XP_046474506.1 XP_046474157.1 XP_046473806.1 XP_046474416.1 XP_046474068.1 XP_046474331.1 XP_046473982.1 XP_046474242.1 XP_046473892.1 XP_046474597.1	XP_046602566.1 XP_046602571.1 XP_046602573.1 XP_015519200.1 XP_015519202.1 XP_015519203.1 XP_015519204.1 XP_015519206.1 XP_046602579.1 XP_046602559.1	XP_046611622.1 XP_046611529.1 XP_046611948.1 XP_046611788.1 XP_046611443.1 XP_046612118.1 XP_046611866.1 XP_046611707.1 XP_046612033.1 XP_046612195.1	XP_046430977.1 XP_046431139.1 XP_046431046.1 XP_046431366.1 XP_046430890.1 XP_046431535.1 XP_046431281.1 XP_046431227.1 XP_046430809.1 XP_046431451.1	XP_046742246.1 XP_046742183.1 XP_046742220.1 XP_046742193.1 XP_046742229.1 XP_046742201.1 XP_046742238.1 XP_046742175.1 XP_046742212.1
