#OG_name	GCF_021155775.1_iyNeoPine1.1_protein.faa	GCF_021901455.1_iyNeoLeco1.1_protein.faa	GCF_021901495.1_iyNeoVirg1.1_protein.faa	GCF_021155785.1_iyNeoFabr1.1_protein.faa	GCF_021155765.1_iyDipSimi1.1_protein.faa
OG_1	4	4	4	4	3
OG_2	5	4	4	5	1
OG_3	9	9	9	9	4
OG_4	4	4	4	4	5
OG_5	5	3	5	5	3
OG_6	4	2	8	1	1
OG_7	2	2	2	2	2
OG_8	1	2	2	2	1
OG_9	1	1	2	1	1
OG_10	4	4	4	4	2
OG_11	3	3	3	3	1
OG_12	5	5	4	4	2
OG_13	4	4	4	4	3
OG_14	2	2	2	2	1
OG_15	14	14	14	15	15
OG_16	3	3	3	3	2
OG_17	3	3	2	3	1
OG_18	3	3	3	3	2
OG_19	3	4	4	4	2
OG_20	8	8	8	7	7
OG_21	5	6	5	5	5
OG_22	3	3	3	3	3
OG_23	4	4	3	3	1
OG_24	2	2	2	2	2
OG_25	2	2	2	2	2
OG_26	2	2	3	2	2
OG_27	3	3	4	2	1
OG_28	6	5	6	5	2
OG_29	10	10	10	10	9
OG_30	8	8	7	7	1
OG_31	3	3	3	3	2
OG_32	3	3	3	3	2
OG_33	4	4	4	4	4
OG_34	3	3	3	3	1
OG_35	3	3	5	4	3
OG_36	4	4	4	4	4
OG_37	5	5	6	10	3
OG_38	3	3	2	3	1
OG_39	6	6	6	7	4
OG_40	5	5	5	5	5
OG_41	3	3	3	3	3
OG_42	2	2	2	2	2
OG_43	2	2	2	2	1
OG_44	11	13	12	12	1
OG_45	4	3	3	3	1
OG_46	2	2	2	1	2
OG_47	2	2	2	2	2
OG_48	6	6	6	6	2
OG_49	1	3	2	3	1
OG_50	2	2	2	2	1
OG_51	2	2	2	1	0
OG_52	1	1	2	1	1
OG_53	4	1	4	3	2
OG_54	7	7	5	4	0
OG_55	2	2	2	2	0
OG_56	3	3	3	3	1
OG_57	2	2	2	2	2
OG_58	9	10	9	8	4
OG_59	2	2	2	2	1
OG_60	2	3	2	2	1
OG_61	10	10	9	9	9
OG_62	2	2	2	2	2
OG_63	2	2	2	2	3
OG_64	2	2	2	2	1
OG_65	2	2	2	2	2
OG_66	6	6	6	6	5
OG_67	5	5	4	5	2
OG_68	3	3	3	3	1
OG_69	8	8	8	8	8
OG_70	3	3	3	3	2
OG_71	2	2	2	2	1
OG_72	3	3	3	3	1
OG_73	2	2	3	3	2
OG_74	3	3	3	3	3
OG_75	4	5	5	3	3
OG_76	2	2	2	1	2
OG_77	9	8	9	8	7
OG_78	5	5	2	2	3
OG_79	2	2	2	2	3
OG_80	2	2	2	2	0
OG_81	3	3	4	4	0
OG_82	1	1	2	1	0
OG_83	6	6	5	6	4
OG_84	8	8	8	8	4
OG_85	2	2	2	2	1
OG_86	2	2	2	2	2
OG_87	4	3	3	3	1
OG_88	3	3	3	3	1
OG_89	2	2	2	2	2
OG_90	3	3	2	2	1
OG_91	1	3	3	3	2
OG_92	3	3	3	3	3
OG_93	6	6	6	6	4
OG_94	2	2	2	2	1
OG_95	2	2	2	3	2
OG_96	2	3	3	2	5
OG_97	3	3	3	3	2
OG_98	4	4	4	4	1
OG_99	1	1	1	1	1
OG_100	3	3	3	3	3
OG_101	6	6	6	6	5
OG_102	10	9	8	5	1
OG_103	2	2	2	2	2
OG_104	2	2	2	3	4
OG_105	2	2	2	1	1
OG_106	5	5	5	5	4
OG_107	7	7	5	7	0
OG_108	2	2	2	1	2
OG_109	2	2	2	2	0
OG_110	2	2	2	2	0
OG_111	4	4	4	4	4
OG_112	6	6	6	6	0
OG_113	3	3	3	3	3
OG_114	6	6	5	6	6
OG_115	2	2	2	2	2
OG_116	2	2	2	2	0
OG_117	2	2	2	2	3
OG_118	2	1	2	1	1
OG_119	2	2	3	3	3
OG_120	7	7	7	7	0
OG_121	3	3	2	3	0
OG_122	4	3	4	4	0
OG_123	3	3	3	3	0
OG_124	2	2	2	2	0
OG_125	5	5	5	5	2
OG_126	5	5	5	5	3
OG_127	2	1	3	3	1
OG_128	12	18	8	8	1
OG_129	2	2	2	2	2
OG_130	9	8	9	9	11
OG_131	5	5	5	5	3
OG_132	2	2	2	2	1
OG_133	2	2	2	2	2
OG_134	2	2	2	2	1
OG_135	5	5	4	4	3
OG_136	4	4	4	4	3
OG_137	2	2	2	2	2
OG_138	2	2	2	2	1
OG_139	2	2	2	2	1
OG_140	2	2	2	2	2
OG_141	2	2	2	2	2
OG_142	5	5	5	5	2
